feature,importance_mean,importance_std
Inflight wifi service,0.12042551123186511,0.0005969185127570174
Type of Travel,0.07862115569223964,0.001128126312018955
Customer Type,0.02022040148909905,0.0003768903249314911
Online boarding,0.006605448651076795,0.00013484950515926344
Checkin service,0.003563173313938428,0.000192008301033284
Baggage handling,0.0033352654424014362,5.050045485030432e-05
Inflight service,0.00241071391336789,0.0001295908082984926
Seat comfort,0.002150144871472004,2.948083042400679e-05
Class,0.0016424232923905491,0.0001089396500855023
Cleanliness,0.0016097717503821495,0.00012483576724397816
Inflight entertainment,0.0015671013078615292,8.334994502023919e-05
id,0.0013880567135602818,5.32480242675799e-05
Age,0.0009915768842535754,7.96050973323301e-05
Arrival Delay in Minutes,0.000933880798938147,8.165653470529738e-05
Ease of Online booking,0.0008560668769341584,5.43283452670438e-05
Gate location,0.0007982702957098686,2.801954628661442e-05
On-board service,0.0007371982699851288,4.406347140817311e-05
Departure/Arrival time convenient,0.00033408751601364805,1.703539766108805e-05
Leg room service,0.00029115109030928286,3.534329681495007e-05
Flight Distance,0.00018305480230258465,2.2832577048142e-05
Food and drink,2.826342124819803e-05,1.8927000796162846e-05
Departure Delay in Minutes,2.4989782063400413e-05,1.0521113138006193e-05
Gender,-1.465916370202436e-06,2.0509763905623855e-06
