feature,importance_mean,importance_std,avg_score_all,score_headroom,opportunity_score
Inflight wifi service,0.12042551123186511,0.0005969185127570174,2.7247459193101324,2.2752540806898676,0.27399863584946454
Online boarding,0.006605448651076795,0.00013484950515926344,3.261664613489375,1.738335386510625,0.011482485133945666
Checkin service,0.003563173313938428,0.000192008301033284,3.3141746227286726,1.6858253772713274,0.0060068879962533765
Baggage handling,0.0033352654424014362,5.050045485030432e-05,3.633238373883585,1.366761626116415,0.004558512819586471
Seat comfort,0.002150144871472004,2.948083042400679e-05,3.4492223591007085,1.5507776408992915,0.0033343965913730646
Inflight service,0.00241071391336789,0.0001295908082984926,3.649253156760086,1.350746843239914,0.0032562642084362167
Cleanliness,0.0016097717503821495,0.00012483576724397816,3.28622574684324,1.71377425315676,0.0027587853792640183
Inflight entertainment,0.0015671013078615292,8.334994502023919e-05,3.3577533107483832,1.6422466892516168,0.002573566934557475
Ease of Online booking,0.0008560668769341584,5.43283452670438e-05,2.756775485063135,2.243224514936865,0.0019203502047641441
Gate location,0.0007982702957098686,2.801954628661442e-05,2.977094240837696,2.022905759162304,0.0016148255785596885
On-board service,0.0007371982699851288,4.406347140817311e-05,3.3856636895595935,1.6143363104404065,0.0011900859352308435
Departure/Arrival time convenient,0.00033408751601364805,1.703539766108805e-05,3.0468124422543887,1.9531875577456113,0.0006525355794759951
Leg room service,0.00029115109030928286,3.534329681495007e-05,3.3501693871265785,1.6498306128734215,0.000480349981763729
Food and drink,2.826342124819803e-05,1.8927000796162846e-05,3.2153526331998767,1.7846473668001233,5.044024030735927e-05
